OrderID,OrderDate,CustomerID,City,State,ProductID,ProductName,Category,UnitPrice,Quantity,LineSubtotal,DiscountRate,DiscountAmount,TaxAmount,ShippingMethod,ShippingCost,OrderTotal,PaymentMethod,ShippingDate,DeliveryDate,Returned,RefundAmount
ORD20035,21/12/2025 00:00,CUST1291,Sokoto,Sokoto State,P1003,Wireless Headphones,Electronics,90,3,270,0,0,20.25,Two-Day,15,305.25,Credit Card,21/12/2025 00:00,25/12/2025 00:00,No,0
ORD20036,11/04/2024 00:00,CUST1193,Abuja,Fct,P3001,Men Denim Jeans,Clothing,45,2,90,0,0,6.75,Standard,15,111.75,Bank Transfer,11/04/2024 00:00,15/04/2024 00:00,No,0
ORD20037,12/11/2025 00:00,CUST1099,Sokoto,Sokoto State,P1002,Laptop Pro 15,Electronics,1200,2,2400,0,0,180,Expedited,5,2585,Cash On Delivery,12/11/2025 00:00,17/11/2025 00:00,No,0
ORD20038,29/11/2024 00:00,CUST1258,Sokoto,Sokoto State,P1001,Smartphone X1,Electronics,300,2,600,0.05,30,42.75,Two-Day,15,627.75,Bank Transfer,29/11/2024 00:00,01/12/2024 00:00,No,0
ORD20039,24/07/2024 00:00,CUST1144,Kano,Kano State,P1003,Wireless Headphones,Electronics,90,1,90,0,0,6.75,Expedited,15,111.75,Paypal,24/07/2024 00:00,26/07/2024 00:00,No,0
ORD20040,29/09/2024 00:00,CUST1173,Minna,Niger State,P2001,Cookware Set,Home & Kitchen,130,2,260,0,0,19.5,Two-Day,10,289.5,Credit Card,29/09/2024 00:00,04/10/2024 00:00,No,0
ORD20041,11/05/2025 00:00,CUST1194,Zaria,Kaduna State,P5001,Bestseller Novel,Books,12,1,12,0,0,0.9,Two-Day,10,22.9,Paypal,11/05/2025 00:00,12/05/2025 00:00,No,0
ORD20042,16/05/2024 00:00,CUST1033,Kano,Kano State,P1002,Laptop Pro 15,Electronics,1200,1,1200,0,0,90,Standard,5,1295,Paypal,16/05/2024 00:00,17/05/2024 00:00,No,0
ORD20043,06/12/2024 00:00,CUST1275,Abuja,Fct,P2002,Vacuum Cleaner,Home & Kitchen,200,1,200,0,0,15,Two-Day,15,230,Cash On Delivery,06/12/2024 00:00,10/12/2024 00:00,No,0
ORD20044,26/04/2024 00:00,CUST1188,Zaria,Kaduna State,P3001,Men Denim Jeans,Clothing,45,2,90,0,0,6.75,Expedited,5,101.75,Paypal,26/04/2024 00:00,30/04/2024 00:00,No,0
ORD20045,18/07/2025 00:00,CUST1250,Lagos,Lagos State,P6001,Football,Sports,30,2,60,0.05,3,4.27,Standard,5,66.27,Cash On Delivery,18/07/2025 00:00,20/07/2025 00:00,Yes,66.27
ORD20046,24/01/2025 00:00,CUST1020,Minna,Niger State,P1002,Laptop Pro 15,Electronics,1200,3,3600,0,0,270,Standard,15,3885,Paypal,24/01/2025 00:00,29/01/2025 00:00,No,0
ORD20047,24/08/2025 00:00,CUST1174,Kaduna,Kaduna State,P6001,Football,Sports,30,3,90,0.1,9,6.08,Expedited,5,92.08,Credit Card,24/08/2025 00:00,28/08/2025 00:00,No,0
ORD20048,24/03/2024 00:00,CUST1292,Abuja,Fct,P6001,Football,Sports,30,1,30,0,0,2.25,Expedited,5,37.25,Cash On Delivery,24/03/2024 00:00,27/03/2024 00:00,Yes,37.25
ORD20049,10/10/2024 00:00,CUST1151,Kaduna,Kaduna State,P4001,Body Lotion,Health & Beauty,15,1,15,0.15,2.25,0.96,Standard,10,23.71,Credit Card,10/10/2024 00:00,14/10/2024 00:00,No,0
ORD20050,17/11/2025 00:00,CUST1151,Kano,Kano State,P6001,Football,Sports,30,1,30,0,0,2.25,Standard,10,42.25,Credit Card,17/11/2025 00:00,20/11/2025 00:00,No,0
ORD20051,11/07/2024 00:00,CUST1211,Kaduna,Kaduna State,P1001,Smartphone X1,Electronics,300,1,300,0.1,30,20.25,Standard,5,295.25,Bank Transfer,11/07/2024 00:00,14/07/2024 00:00,No,0
ORD20052,20/06/2024 00:00,CUST1082,Kaduna,Kaduna State,P4001,Body Lotion,Health & Beauty,15,1,15,0,0,1.12,Two-Day,5,21.12,Paypal,20/06/2024 00:00,25/06/2024 00:00,Yes,21.12
ORD20053,22/01/2025 00:00,CUST1081,Kaduna,Kaduna State,P3002,Women T‑Shirt,Clothing,20,1,20,0,0,1.5,Two-Day,15,36.5,Cash On Delivery,22/01/2025 00:00,24/01/2025 00:00,No,0
ORD20054,18/11/2024 00:00,CUST1281,Jos,Plateau State,P4001,Body Lotion,Health & Beauty,15,1,15,0,0,1.12,Standard,5,21.12,Paypal,18/11/2024 00:00,23/11/2024 00:00,No,0
ORD20055,11/01/2024 00:00,CUST1162,Kano,Kano State,P1001,Smartphone X1,Electronics,300,1,300,0,0,22.5,Expedited,5,327.5,Cash On Delivery,11/01/2024 00:00,15/01/2024 00:00,No,0
ORD20056,12/02/2025 00:00,CUST1230,Minna,Niger State,P3001,Men Denim Jeans,Clothing,45,2,90,0.05,4.5,6.41,Standard,15,106.91,Credit Card,12/02/2025 00:00,17/02/2025 00:00,No,0
ORD20057,13/09/2024 00:00,CUST1162,Sokoto,Sokoto State,P1002,Laptop Pro 15,Electronics,1200,1,1200,0,0,90,Standard,15,1305,Bank Transfer,13/09/2024 00:00,17/09/2024 00:00,No,0
ORD20058,08/07/2025 00:00,CUST1182,Jos,Plateau State,P1003,Wireless Headphones,Electronics,90,1,90,0,0,6.75,Standard,15,111.75,Cash On Delivery,08/07/2025 00:00,10/07/2025 00:00,No,0
ORD20059,24/03/2024 00:00,CUST1101,Abuja,Fct,P3001,Men Denim Jeans,Clothing,45,3,135,0,0,10.12,Expedited,5,150.12,Credit Card,24/03/2024 00:00,27/03/2024 00:00,No,0
ORD20060,20/10/2025 00:00,CUST1229,Kaduna,Kaduna State,P6001,Football,Sports,30,1,30,0,0,2.25,Expedited,15,47.25,Paypal,20/10/2025 00:00,21/10/2025 00:00,No,0
ORD20061,01/12/2024 00:00,CUST1199,Jos,Plateau State,P1001,Smartphone X1,Electronics,300,1,300,0.15,45,19.12,Standard,10,284.12,Cash On Delivery,01/12/2024 00:00,02/12/2024 00:00,No,0
ORD20062,08/12/2024 00:00,CUST1296,Jos,Plateau State,P2001,Cookware Set,Home & Kitchen,130,1,130,0,0,9.75,Standard,5,144.75,Credit Card,08/12/2024 00:00,12/12/2024 00:00,No,0
ORD20063,06/09/2024 00:00,CUST1125,Abuja,Fct,P1001,Smartphone X1,Electronics,300,1,300,0,0,22.5,Expedited,10,332.5,Credit Card,06/09/2024 00:00,09/09/2024 00:00,No,0
ORD20064,23/01/2024 00:00,CUST1137,Kaduna,Kaduna State,P1002,Laptop Pro 15,Electronics,1200,2,2400,0,0,180,Two-Day,5,2585,Credit Card,23/01/2024 00:00,28/01/2024 00:00,No,0
ORD20065,25/04/2025 00:00,CUST1148,Zaria,Kaduna State,P4001,Body Lotion,Health & Beauty,15,1,15,0,0,1.12,Standard,10,26.12,Credit Card,25/04/2025 00:00,26/04/2025 00:00,No,0
ORD20066,05/06/2025 00:00,CUST1256,Zaria,Kaduna State,P1002,Laptop Pro 15,Electronics,1200,1,1200,0,0,90,Two-Day,15,1305,Paypal,05/06/2025 00:00,06/06/2025 00:00,No,0
ORD20067,23/11/2024 00:00,CUST1091,Lagos,Lagos State,P1003,Wireless Headphones,Electronics,90,2,180,0.1,18,12.15,Expedited,15,189.15,Credit Card,23/11/2024 00:00,28/11/2024 00:00,No,0
ORD20068,30/07/2024 00:00,CUST1263,Jos,Plateau State,P1003,Wireless Headphones,Electronics,90,1,90,0,0,6.75,Standard,15,111.75,Credit Card,30/07/2024 00:00,04/08/2024 00:00,No,0
ORD20069,02/11/2024 00:00,CUST1161,Abuja,Fct,P1003,Wireless Headphones,Electronics,90,1,90,0,0,6.75,Expedited,15,111.75,Paypal,02/11/2024 00:00,07/11/2024 00:00,No,0
ORD20070,06/03/2024 00:00,CUST1024,Abuja,Fct,P2002,Vacuum Cleaner,Home & Kitchen,200,1,200,0,0,15,Two-Day,10,225,Bank Transfer,06/03/2024 00:00,09/03/2024 00:00,No,0
ORD20071,25/03/2025 00:00,CUST1220,Jos,Plateau State,P5001,Bestseller Novel,Books,12,1,12,0,0,0.9,Two-Day,10,22.9,Bank Transfer,25/03/2025 00:00,26/03/2025 00:00,No,0
ORD20072,24/06/2024 00:00,CUST1005,Minna,Niger State,P3001,Men Denim Jeans,Clothing,45,1,45,0,0,3.38,Expedited,15,63.38,Bank Transfer,24/06/2024 00:00,29/06/2024 00:00,No,0
ORD20073,20/01/2024 00:00,CUST1012,Minna,Niger State,P6001,Football,Sports,30,1,30,0,0,2.25,Standard,5,37.25,Cash On Delivery,20/01/2024 00:00,23/01/2024 00:00,No,0
ORD20074,08/05/2024 00:00,CUST1296,Lagos,Lagos State,P6001,Football,Sports,30,1,30,0,0,2.25,Standard,5,37.25,Cash On Delivery,08/05/2024 00:00,09/05/2024 00:00,Yes,37.25
ORD20075,14/02/2025 00:00,CUST1141,Minna,Niger State,P6001,Football,Sports,30,2,60,0.05,3,4.27,Standard,5,66.27,Credit Card,14/02/2025 00:00,15/02/2025 00:00,No,0
ORD20076,30/06/2024 00:00,CUST1119,Sokoto,Sokoto State,P1001,Smartphone X1,Electronics,300,1,300,0,0,22.5,Two-Day,5,327.5,Cash On Delivery,30/06/2024 00:00,05/07/2024 00:00,No,0
ORD20077,01/09/2024 00:00,CUST1256,Sokoto,Sokoto State,P2001,Cookware Set,Home & Kitchen,130,2,260,0.1,26,17.55,Expedited,15,266.55,Bank Transfer,01/09/2024 00:00,04/09/2024 00:00,No,0
ORD20078,11/12/2024 00:00,CUST1245,Abuja,Fct,P3002,Women T‑Shirt,Clothing,20,2,40,0,0,3,Two-Day,15,58,Cash On Delivery,11/12/2024 00:00,15/12/2024 00:00,No,0
ORD20079,07/06/2025 00:00,CUST1112,Kano,Kano State,P1002,Laptop Pro 15,Electronics,1200,3,3600,0,0,270,Two-Day,15,3885,Cash On Delivery,07/06/2025 00:00,09/06/2025 00:00,No,0
ORD20080,01/11/2024 00:00,CUST1081,Abuja,Fct,P2002,Vacuum Cleaner,Home & Kitchen,200,1,200,0.05,10,14.25,Two-Day,15,219.25,Cash On Delivery,01/11/2024 00:00,03/11/2024 00:00,Yes,219.25
ORD20081,19/12/2025 00:00,CUST1282,Zaria,Kaduna State,P1003,Wireless Headphones,Electronics,90,1,90,0.15,13.5,5.74,Two-Day,5,87.24,Bank Transfer,19/12/2025 00:00,24/12/2025 00:00,No,0
ORD20082,10/06/2025 00:00,CUST1043,Kaduna,Kaduna State,P6001,Football,Sports,30,3,90,0,0,6.75,Two-Day,15,111.75,Bank Transfer,10/06/2025 00:00,15/06/2025 00:00,No,0
ORD20083,12/03/2025 00:00,CUST1090,Lagos,Lagos State,P2002,Vacuum Cleaner,Home & Kitchen,200,2,400,0,0,30,Standard,10,440,Credit Card,12/03/2025 00:00,15/03/2025 00:00,No,0
ORD20084,28/01/2025 00:00,CUST1253,Minna,Niger State,P3001,Men Denim Jeans,Clothing,45,1,45,0.1,4.5,3.04,Two-Day,10,53.54,Paypal,28/01/2025 00:00,31/01/2025 00:00,No,0
ORD20085,02/04/2024 00:00,CUST1278,Kano,Kano State,P5001,Bestseller Novel,Books,12,1,12,0,0,0.9,Expedited,5,17.9,Credit Card,02/04/2024 00:00,06/04/2024 00:00,No,0
ORD20086,23/09/2025 00:00,CUST1136,Kaduna,Kaduna State,P1003,Wireless Headphones,Electronics,90,1,90,0,0,6.75,Two-Day,5,101.75,Credit Card,23/09/2025 00:00,27/09/2025 00:00,No,0
ORD20087,19/03/2025 00:00,CUST1227,Abuja,Fct,P3002,Women T‑Shirt,Clothing,20,2,40,0,0,3,Expedited,15,58,Paypal,19/03/2025 00:00,22/03/2025 00:00,No,0
ORD20088,29/09/2025 00:00,CUST1166,Sokoto,Sokoto State,P1003,Wireless Headphones,Electronics,90,1,90,0,0,6.75,Expedited,10,106.75,Paypal,29/09/2025 00:00,02/10/2025 00:00,No,0
ORD20089,30/06/2025 00:00,CUST1061,Minna,Niger State,P6001,Football,Sports,30,2,60,0,0,4.5,Expedited,15,79.5,Credit Card,30/06/2025 00:00,01/07/2025 00:00,No,0
ORD20090,22/01/2025 00:00,CUST1151,Jos,Plateau State,P2001,Cookware Set,Home & Kitchen,130,1,130,0.05,6.5,9.26,Two-Day,15,147.76,Credit Card,22/01/2025 00:00,23/01/2025 00:00,No,0
ORD20091,22/01/2024 00:00,CUST1097,Sokoto,Sokoto State,P6001,Football,Sports,30,1,30,0,0,2.25,Standard,15,47.25,Paypal,22/01/2024 00:00,26/01/2024 00:00,Yes,47.25
ORD20092,18/10/2024 00:00,CUST1133,Abuja,Fct,P1003,Wireless Headphones,Electronics,90,1,90,0,0,6.75,Standard,5,101.75,Paypal,18/10/2024 00:00,23/10/2024 00:00,No,0
ORD20093,13/09/2024 00:00,CUST1139,Jos,Plateau State,P6001,Football,Sports,30,1,30,0.05,1.5,2.14,Two-Day,5,35.64,Bank Transfer,13/09/2024 00:00,15/09/2024 00:00,Yes,35.64
ORD20094,06/03/2025 00:00,CUST1086,Zaria,Kaduna State,P4001,Body Lotion,Health & Beauty,15,2,30,0,0,2.25,Standard,15,47.25,Paypal,06/03/2025 00:00,07/03/2025 00:00,No,0
ORD20095,17/10/2024 00:00,CUST1292,Minna,Niger State,P2001,Cookware Set,Home & Kitchen,130,1,130,0,0,9.75,Standard,15,154.75,Credit Card,17/10/2024 00:00,22/10/2024 00:00,No,0
ORD20096,30/10/2024 00:00,CUST1060,Kano,Kano State,P5001,Bestseller Novel,Books,12,2,24,0,0,1.8,Two-Day,10,35.8,Paypal,30/10/2024 00:00,04/11/2024 00:00,No,0
ORD20097,14/11/2024 00:00,CUST1038,Zaria,Kaduna State,P6001,Football,Sports,30,1,30,0.15,4.5,1.91,Expedited,15,42.41,Cash On Delivery,14/11/2024 00:00,16/11/2024 00:00,No,0
ORD20098,06/05/2024 00:00,CUST1270,Zaria,Kaduna State,P1001,Smartphone X1,Electronics,300,1,300,0.05,15,21.38,Expedited,15,321.38,Bank Transfer,06/05/2024 00:00,09/05/2024 00:00,No,0
ORD20099,12/02/2025 00:00,CUST1179,Jos,Plateau State,P5001,Bestseller Novel,Books,12,1,12,0.15,1.8,0.76,Expedited,10,20.96,Bank Transfer,12/02/2025 00:00,17/02/2025 00:00,No,0
ORD20100,27/07/2024 00:00,CUST1057,Minna,Niger State,P3002,Women T‑Shirt,Clothing,20,3,60,0,0,4.5,Two-Day,10,74.5,Credit Card,27/07/2024 00:00,29/07/2024 00:00,No,0
ORD20101,07/09/2025 00:00,CUST1142,Abuja,Fct,P4001,Body Lotion,Health & Beauty,15,1,15,0.1,1.5,1.01,Two-Day,5,19.51,Bank Transfer,07/09/2025 00:00,09/09/2025 00:00,No,0
ORD20102,26/09/2025 00:00,CUST1156,Lagos,Lagos State,P4001,Body Lotion,Health & Beauty,15,2,30,0.1,3,2.02,Two-Day,15,44.02,Paypal,26/09/2025 00:00,01/10/2025 00:00,No,0
ORD20103,16/08/2025 00:00,CUST1184,Kano,Kano State,P3002,Women T‑Shirt,Clothing,20,1,20,0,0,1.5,Expedited,5,26.5,Bank Transfer,16/08/2025 00:00,19/08/2025 00:00,No,0
ORD20104,10/09/2024 00:00,CUST1172,Kaduna,Kaduna State,P4001,Body Lotion,Health & Beauty,15,1,15,0,0,1.12,Two-Day,5,21.12,Cash On Delivery,10/09/2024 00:00,14/09/2024 00:00,No,0
ORD20105,10/10/2025 00:00,CUST1010,Minna,Niger State,P1003,Wireless Headphones,Electronics,90,2,180,0,0,13.5,Expedited,10,203.5,Cash On Delivery,10/10/2025 00:00,11/10/2025 00:00,No,0
ORD20106,11/01/2024 00:00,CUST1091,Kaduna,Kaduna State,P6001,Football,Sports,30,3,90,0,0,6.75,Expedited,5,101.75,Cash On Delivery,11/01/2024 00:00,12/01/2024 00:00,No,0
ORD20107,18/04/2025 00:00,CUST1210,Jos,Plateau State,P1003,Wireless Headphones,Electronics,90,1,90,0,0,6.75,Expedited,10,106.75,Bank Transfer,18/04/2025 00:00,20/04/2025 00:00,No,0
ORD20108,16/02/2024 00:00,CUST1086,Sokoto,Sokoto State,P5001,Bestseller Novel,Books,12,2,24,0.1,2.4,1.62,Expedited,10,33.22,Credit Card,16/02/2024 00:00,20/02/2024 00:00,No,0
ORD20109,09/03/2024 00:00,CUST1216,Kaduna,Kaduna State,P3001,Men Denim Jeans,Clothing,45,1,45,0,0,3.38,Two-Day,5,53.38,Bank Transfer,09/03/2024 00:00,12/03/2024 00:00,No,0
ORD20110,28/12/2025 00:00,CUST1010,Lagos,Lagos State,P5001,Bestseller Novel,Books,12,1,12,0,0,0.9,Standard,5,17.9,Credit Card,28/12/2025 00:00,30/12/2025 00:00,No,0
ORD20111,07/11/2024 00:00,CUST1205,Jos,Plateau State,P6001,Football,Sports,30,2,60,0,0,4.5,Standard,5,69.5,Paypal,07/11/2024 00:00,08/11/2024 00:00,No,0
ORD20112,11/03/2024 00:00,CUST1121,Zaria,Kaduna State,P2002,Vacuum Cleaner,Home & Kitchen,200,1,200,0,0,15,Standard,10,225,Cash On Delivery,11/03/2024 00:00,16/03/2024 00:00,No,0
ORD20113,31/10/2024 00:00,CUST1239,Kano,Kano State,P1003,Wireless Headphones,Electronics,90,2,180,0,0,13.5,Two-Day,15,208.5,Cash On Delivery,31/10/2024 00:00,02/11/2024 00:00,No,0
ORD20114,28/07/2025 00:00,CUST1182,Abuja,Fct,P3002,Women T‑Shirt,Clothing,20,1,20,0,0,1.5,Expedited,10,31.5,Paypal,28/07/2025 00:00,31/07/2025 00:00,No,0
ORD20115,03/12/2024 00:00,CUST1247,Jos,Plateau State,P6001,Football,Sports,30,1,30,0.05,1.5,2.14,Two-Day,5,35.64,Paypal,03/12/2024 00:00,08/12/2024 00:00,No,0
ORD20116,29/09/2025 00:00,CUST1132,Abuja,Fct,P1001,Smartphone X1,Electronics,300,3,900,0,0,67.5,Expedited,5,972.5,Cash On Delivery,29/09/2025 00:00,04/10/2025 00:00,No,0
ORD20117,13/07/2024 00:00,CUST1221,Abuja,Fct,P2002,Vacuum Cleaner,Home & Kitchen,200,2,400,0,0,30,Standard,10,440,Paypal,13/07/2024 00:00,15/07/2024 00:00,No,0
ORD20118,31/05/2024 00:00,CUST1296,Sokoto,Sokoto State,P6001,Football,Sports,30,1,30,0.1,3,2.02,Two-Day,5,34.02,Cash On Delivery,31/05/2024 00:00,01/06/2024 00:00,No,0
ORD20119,21/05/2024 00:00,CUST1235,Lagos,Lagos State,P1003,Wireless Headphones,Electronics,90,3,270,0.05,13.5,19.24,Two-Day,10,285.74,Bank Transfer,21/05/2024 00:00,25/05/2024 00:00,No,0
ORD20120,03/09/2024 00:00,CUST1184,Jos,Plateau State,P3002,Women T‑Shirt,Clothing,20,1,20,0,0,1.5,Standard,15,36.5,Paypal,03/09/2024 00:00,06/09/2024 00:00,No,0
ORD20121,21/08/2024 00:00,CUST1156,Kaduna,Kaduna State,P1002,Laptop Pro 15,Electronics,1200,1,1200,0.05,60,85.5,Expedited,10,1235.5,Cash On Delivery,21/08/2024 00:00,25/08/2024 00:00,No,0
ORD20122,16/02/2024 00:00,CUST1252,Kaduna,Kaduna State,P1003,Wireless Headphones,Electronics,90,1,90,0,0,6.75,Standard,5,101.75,Credit Card,16/02/2024 00:00,21/02/2024 00:00,No,0
ORD20123,21/12/2025 00:00,CUST1110,Kano,Kano State,P4001,Body Lotion,Health & Beauty,15,1,15,0,0,1.12,Two-Day,15,31.12,Bank Transfer,21/12/2025 00:00,26/12/2025 00:00,No,0
ORD20124,19/09/2025 00:00,CUST1175,Jos,Plateau State,P1002,Laptop Pro 15,Electronics,1200,2,2400,0,0,180,Two-Day,10,2590,Paypal,19/09/2025 00:00,23/09/2025 00:00,No,0
